Key,Value,Bytes,Stored?,Time to store,Retrieved Value,Retrieved Bytes,Time to get,Correct Key-Value?
test#1,This test should fail due to the special character in the name,62,"NOT STORED
",0.17956805229187012,An error occurred when parsing server return,Error has Occurred,0.0878140926361084,False
test 2,This test should fail due to the space in the name,50,"Unable to process command 
",0.005660533905029297,An error occurred when parsing server return,process,0.0006470680236816406,False
test3 ,This test should fail due to the space in the name,50,"Unable to process command 
",0.0004341602325439453,An error occurred when parsing server return,process,0.0019066333770751953,False
longtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtest,This test should fail due to the length of the string,53,"NOT STORED
",0.21769499778747559,END ,FOUND,0.1343860626220703,False
imprint9,3 0 1 keyboard 2 crowded crowded willing ,41,"STORED
",0.13844943046569824,END ,FOUND,0.24085593223571777,False
6keyboard,space are 9 ,12,"NOT STORED
",0.2008514404296875,space are 9 ,12,0.45358800888061523,True
forceletjelly,are 8 application program 0 hello crowded ,42,"STORED
",0.7637505531311035,3 0 1 keyboard 2 crowded crowded willing ,41,0.2829244136810303,False
applicationjellyjavascript,monitor 1 ,10,"STORED
",0.05679655075073242,monitor 1 ,10,0.5910806655883789,True
present05,network voyage zipper network exuberant exuberant javascript voyage 4 whisper 0 evaporate 6 keyboard program ,109,"STORED
",0.022861957550048828,are 8 application program 0 hello crowded ,42,0.1352536678314209,False
imprintpresent,8 messy 4 present let are ,26,"STORED
",0.10010170936584473,network voyage zipper network exuberant exuberant javascript voyage 4 whisper 0 evaporate 6 keyboard program ,109,0.037999868392944336,False
hello,monitor 3 present you 9 willing credit you network space world exuberant whisper 4 3 ,85,"STORED
",0.35198450088500977,willing force 8 gaming keyboard 8 program ,42,0.17724943161010742,False
credithowkeyboard,voyage force 8 ,15,"NOT STORED
",0.32136058807373047,8 messy 4 present let are ,26,0.16221284866333008,False
keyboard5,whisper ,8,"STORED
",0.5257461071014404,whisper ,8,0.08072376251220703,True
forceexuberant,birth willing ,14,"STORED
",0.024292707443237305,birth willing ,14,0.22412943840026855,True
jellyforcehello,crowded program 8 ,18,"STORED
",0.46301770210266113,voyage force 8 ,15,0.42891430854797363,False
31,hello suit whisper space voyage limping let force jelly monitor credit 5 application ,85,"STORED
",0.0,crowded program 8 ,18,0.21078085899353027,False
messy,3 force 5 7 whisper ,20,"NOT STORED
",0.3805501461029053,how jelly you crowded zipper 7 are ,35,0.37724757194519043,False
imprint,jelly evaporate keyboard imprint present 5 3 voyage hello 1 ,60,"STORED
",0.025963306427001953,hello suit whisper space voyage limping let force jelly monitor credit 5 application ,85,0.015737533569335938,False
howcredit,2 messy shape build hello 9 jelly build let credit build network let let 2 ,75,"STORED
",0.293581485748291,2 messy shape build hello 9 jelly build let credit build network let let 2 ,75,0.16959095001220703,True
