Key,Value,Bytes,Stored?,Time to store,Retrieved Value,Retrieved Bytes,Time to get,Correct Key-Value?
test#1,This test should fail due to the special character in the name,62,"NOT STORED
",0.3159012794494629,END ,FOUND,0.9229714870452881,False
test 2,This test should fail due to the space in the name,50,"Unable to process command 
",0.0,An error occurred when parsing server return,process,0.0015308856964111328,False
test3 ,This test should fail due to the space in the name,50,"Unable to process command 
",0.0,An error occurred when parsing server return,process,0.0005288124084472656,False
longtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtest,This test should fail due to the length of the string,53,"NOT STORED
",0.6056616306304932,END ,FOUND,0.3391082286834717,False
3application,network are ,12,"STORED
",0.6044261455535889,network are ,12,0.18999099731445312,True
voyage4,2 build zipper network imprint evaporate program hello ,55,"STORED
",0.21261286735534668,2 build zipper network imprint evaporate program hello ,55,0.5467042922973633,True
applicationgaming,5 monitor are monitor keyboard willing ,39,"STORED
",0.3269531726837158,5 monitor are monitor keyboard willing ,39,0.07048845291137695,True
limpingspacejelly,network gaming are jelly birth shape birth javascript messy force 4 program 8 ,78,"STORED
",0.7848806381225586,network gaming are jelly birth shape birth javascript messy force 4 program 8 ,78,0.5779306888580322,True
whispersuitshape,7 messy suit keyboard 5 ,24,"STORED
",0.055045127868652344,7 messy suit keyboard 5 ,24,0.30807924270629883,True
gaminglimpinglet,crowded ,8,"STORED
",0.007776498794555664,crowded ,8,0.6356887817382812,True
