Key,Value,Bytes,Stored?,Time to store,Retrieved Value,Retrieved Bytes,Time to get,Correct Key-Value?
test#1,This test should fail due to the special character in the name,62,"NOT STORED
",0.21758222579956055,An error occurred when parsing server return,Error has Occurred,0.6116604804992676,False
test 2,This test should fail due to the space in the name,50,"NOT STORED
",0.4292886257171631,END ,FOUND,0.54844069480896,False
test3 ,This test should fail due to the space in the name,50,"Unable to process command 
Unable to process command 
",0.0010187625885009766,An error occurred when parsing server return,process,0.0,False
longtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtest,This test should fail due to the length of the string,53,"NOT STORED
",0.16845965385437012,An error occurred when parsing server return,process,0.0,False
11you,limping jelly javascript ,25,"NOT STORED
",0.8217220306396484,END ,FOUND,0.3936882019042969,False
crowded,voyage gaming jelly force ,26,"STORED
",0.4822361469268799,limping jelly javascript ,25,0.2195873260498047,False
suit,2 birth javascript 8 zipper you imprint hello force ,52,"NOT STORED
",0.382565975189209,voyage 1 network ,17,0.2181110382080078,False
credit6world,gaming you 7 crowded you 6 9 keyboard world imprint network world ,66,"NOT STORED
",0.06229400634765625,messy willing crowded exuberant 4 build 2 exuberant let crowded 7 ,66,0.18780231475830078,False
birth,whisper application hello 8 network application 7 credit birth 7 network 2 application zipper ,94,"STORED
",0.7358090877532959,gaming you 7 crowded you 6 9 keyboard world imprint network world ,66,0.7403373718261719,False
applicationjavascript,world limping hello ,20,"NOT STORED
",0.9867908954620361,2 willing willing 1 shape are world ,36,0.4265117645263672,False
limping3application,force suit ,11,"STORED
",0.7398545742034912,world limping hello ,20,0.8303577899932861,False
5let,force 8 whisper 6 space ,24,"STORED
",0.9710261821746826,force suit ,11,0.8523426055908203,False
programjavascript6,9 suit world 4 ,15,"STORED
",0.8634092807769775,force 8 whisper 6 space ,24,0.5650379657745361,False
javascript,monitor force 1 ,16,"STORED
",0.0285799503326416,9 suit world 4 ,15,0.1791079044342041,False
programwilling,messy whisper birth let application application let present ,60,"NOT STORED
",0.8040328025817871,present 0 3 whisper 6 willing 9 limping ,40,0.9044713973999023,False
crowded9build,1 ,2,"STORED
",0.6574137210845947,messy whisper birth let application application let present ,60,0.17827677726745605,False
networkarejavascript,you 8 5 application 8 javascript 4 program ,43,"STORED
",0.6888992786407471,1 ,2,0.06396627426147461,False
