Key,Value,Bytes,Stored?,Time to store,Retrieved Value,Retrieved Bytes,Time to get,Correct Key-Value?
test#1,This test should fail due to the special character in the name,62,"NOT STORED
",0.24132966995239258,An error occurred when parsing server return,Error has Occurred,0.8080780506134033,False
test 2,This test should fail due to the space in the name,50,"Unable to process command 
",0.0,END ,FOUND,0.8437955379486084,False
test3 ,This test should fail due to the space in the name,50,"Unable to process command 
",0.0009992122650146484,An error occurred when parsing server return,process,0.0,False
longtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtest,This test should fail due to the length of the string,53,"KEY NOT FOUND
END 
",0.13705062866210938,An error occurred when parsing server return,process,0.0005011558532714844,False
1space4,monitor crowded monitor 3 2 how imprint exuberant exuberant keyboard ,69,"NOT STORED
",0.6470561027526855,END ,FOUND,0.4483928680419922,False
javascriptprogramapplication,space build shape 3 willing ,28,"STORED
",0.28264665603637695,monitor crowded monitor 3 2 how imprint exuberant exuberant keyboard ,69,0.3343684673309326,False
how,8 let build ,12,"STORED
",0.06251382827758789,space build shape 3 willing ,28,1.0101189613342285,False
4world,are let program build 2 build evaporate zipper space ,53,"NOT STORED
",0.34058070182800293,7 9 5 9 gaming javascript build how space credit build 6 ,57,0.5442306995391846,False
you8,javascript whisper 6 present application network suit application imprint monitor 3 how ,88,"STORED
",0.9034881591796875,are let program build 2 build evaporate zipper space ,53,0.8530528545379639,False
spacemonitor,6 limping willing 2 6 3 voyage monitor 7 zipper zipper present javascript ,74,"STORED
",0.1707899570465088,javascript whisper 6 present application network suit application imprint monitor 3 how ,88,0.07810854911804199,False
howvoyagebirth,5 ,2,"STORED
",0.3900148868560791,6 limping willing 2 6 3 voyage monitor 7 zipper zipper present javascript ,74,0.6738653182983398,False
