Key,Value,Bytes,Stored?,Time to store,Retrieved Value,Retrieved Bytes,Time to get,Correct Key-Value?
test#1,This test should fail due to the special character in the name,62,"NOT STORED
",7.454087734222412,END ,FOUND,0.7064733505249023,False
test 2,This test should fail due to the space in the name,50,"Unable to process command 
",0.0006885528564453125,An error occurred when parsing server return,process,0.0005002021789550781,False
test3 ,This test should fail due to the space in the name,50,"Unable to process command 
",0.0,An error occurred when parsing server return,process,0.011711597442626953,False
longtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtest,This test should fail due to the length of the string,53,"NOT STORED
",0.03655838966369629,END ,FOUND,0.9511945247650146,False
exuberantjavascriptare,willing application evaporate 1 evaporate program ,50,"STORED
",0.9972302913665771,willing application evaporate 1 evaporate program ,50,0.08359050750732422,True
are,imprint suit 4 are ,19,"NOT STORED
",0.4545624256134033,imprint javascript you birth 3 how voyage ,42,0.2657790184020996,False
0,application zipper ,19,"STORED
",0.44196581840515137,application zipper ,19,0.030502796173095703,True
creditare,2 application you ,18,"STORED
",0.5475902557373047,2 application you ,18,0.5256989002227783,True
youarespace,world imprint network limping birth credit imprint space zipper world application space ,88,"STORED
",0.49155569076538086,world imprint network limping birth credit imprint space zipper world application space ,88,0.5152468681335449,True
crowdedapplication,exuberant 2 2 javascript 2 1 ,29,"STORED
",0.8881726264953613,exuberant 2 2 javascript 2 1 ,29,0.38031530380249023,True
force9gaming,keyboard 0 suit ,16,"STORED
",0.6529784202575684,keyboard 0 suit ,16,0.5946042537689209,True
jellyevaporate,keyboard ,9,"STORED
",0.7187678813934326,keyboard ,9,0.5339224338531494,True
9world,willing 6 birth zipper are monitor birth program voyage 9 let gaming keyboard imprint ,86,"STORED
",0.7289149761199951,willing 6 birth zipper are monitor birth program voyage 9 let gaming keyboard imprint ,86,0.3311498165130615,True
9how7,jelly ,6,"STORED
",0.7494170665740967,jelly ,6,0.33045506477355957,True
gaminglet,6 space evaporate willing 9 9 how javascript 9 suit 0 birth present whisper build ,82,"STORED
",0.9167008399963379,6 space evaporate willing 9 9 how javascript 9 suit 0 birth present whisper build ,82,0.5435535907745361,True
worldimprint,voyage jelly exuberant jelly let 9 hello build force 8 credit jelly 8 messy ,76,"STORED
",0.4946582317352295,voyage jelly exuberant jelly let 9 hello build force 8 credit jelly 8 messy ,76,0.22839975357055664,True
world,program space zipper ,21,"NOT STORED
",0.54349684715271,shape build jelly voyage evaporate 8 ,37,0.7365529537200928,False
present7,keyboard 1 application force crowded imprint ,45,"STORED
",0.22482514381408691,keyboard 1 application force crowded imprint ,45,0.9340817928314209,True
