Key,Value,Bytes,Stored?,Time to store,Retrieved Value,Retrieved Bytes,Time to get,Correct Key-Value?
test#1,This test should fail due to the special character in the name,62,"NOT STORED
",0.10394954681396484,END ,FOUND,0.11857843399047852,False
test 2,This test should fail due to the space in the name,50,"Unable to process command 
",0.00018596649169921875,An error occurred when parsing server return,process,0.001737833023071289,False
test3 ,This test should fail due to the space in the name,50,"Unable to process command 
",0.0,An error occurred when parsing server return,process,0.0008554458618164062,False
longtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtest,This test should fail due to the length of the string,53,"NOT STORED
",0.10784244537353516,END ,FOUND,0.3894691467285156,False
hellogaminglet,build limping exuberant ,24,"NOT STORED
",0.37137317657470703,An error occurred when parsing server return,Error has Occurred,0.30254387855529785,False
shape,you whisper exuberant suit willing shape crowded 3 jelly ,57,"NOT STORED
",0.26712703704833984,An error occurred when parsing server return,Error has Occurred,0.018077850341796875,False
presentletare,suit jelly are let are 4 credit build 8 ,40,"STORED
",0.1194298267364502,build limping exuberant ,24,0.2453150749206543,False
jellysuitmonitor,gaming are how imprint 7 application program ,45,"STORED
",0.46135711669921875,suit jelly are let are 4 credit build 8 ,40,0.1511240005493164,False
0suit,suit you javascript credit 9 6 javascript keyboard javascript keyboard ,71,"NOT STORED
",0.18423008918762207,gaming are how imprint 7 application program ,45,0.056063175201416016,False
whisperevaporate,whisper shape 8 3 7 gaming birth 5 credit gaming exuberant build build voyage 1 ,80,"STORED
",0.14399099349975586,crowded ,8,0.03126788139343262,False
39,you javascript willing ,23,"STORED
",0.05463886260986328,whisper shape 8 3 7 gaming birth 5 credit gaming exuberant build build voyage 1 ,80,0.3993971347808838,False
let,you program evaporate world 4 network build 6 gaming 4 8 ,57,"NOT STORED
",0.1420612335205078,crowded application monitor shape 5 zipper hello gaming voyage credit ,70,0.08715939521789551,False
whisper,7 ,2,"STORED
",0.07362031936645508,suit you javascript credit 9 6 javascript keyboard javascript keyboard ,71,0.18517351150512695,False
evaporateimprint,network jelly whisper space 3 limping javascript 0 javascript jelly ,68,"STORED
",0.4920642375946045,you javascript willing ,23,0.20229578018188477,False
present,application 3 present keyboard shape gaming exuberant how 4 voyage jelly 0 build whisper ,89,"NOT STORED
",0.34220361709594727,force network monitor 2 9 exuberant 1 hello 5 whisper ,54,0.41940975189208984,False
worldapplicationmessy,program 2 gaming ,17,"STORED
",0.04967379570007324,network jelly whisper space 3 limping javascript 0 javascript jelly ,68,0.0,False
3,voyage 5 0 limping 2 imprint willing world 9 0 monitor 4 hello application ,75,"NOT STORED
",0.42656970024108887,9 shape suit whisper willing javascript monitor imprint limping 0 limping 7 ,76,0.03569459915161133,False
keyboard1are,messy suit credit credit network program voyage 4 build you messy 1 9 force ,76,"NOT STORED
",0.03864312171936035,world voyage 8 build crowded keyboard willing build javascript zipper 0 you 7 program ,86,0.2645139694213867,False
willing,2 hello you birth you crowded willing ,38,"STORED
",0.12453198432922363,messy 9 ,8,0.3727731704711914,False
