Key,Value,Bytes,Stored?,Time to store,Retrieved Value,Retrieved Bytes,Time to get,Correct Key-Value?
test#1,This test should fail due to the special character in the name,62,"STORED
",0.03151869773864746,END ,FOUND,0.328843355178833,False
test 2,This test should fail due to the space in the name,50,"Unable to process command 
",0.0007958412170410156,An error occurred when parsing server return,process,0.0005025863647460938,False
test3 ,This test should fail due to the space in the name,50,"Unable to process command 
",0.0005033016204833984,An error occurred when parsing server return,process,0.0006427764892578125,False
longtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtest,This test should fail due to the length of the string,53,"NOT STORED
",0.1281900405883789,END ,FOUND,0.039307355880737305,False
areyou,messy are exuberant shape imprint build 4 9 birth 9 evaporate 1 ,64,"NOT STORED
",0.1911180019378662,An error occurred when parsing server return,Error has Occurred,0.0683588981628418,False
monitor6world,shape ,6,"STORED
",0.3793458938598633,messy are exuberant shape imprint build 4 9 birth 9 evaporate 1 ,64,0.36487674713134766,False
programmonitor,birth 2 world exuberant 0 present how messy 9 ,46,"STORED
",0.13983798027038574,shape ,6,0.3518543243408203,False
1how,7 3 willing space ,18,"STORED
",0.0543215274810791,birth 2 world exuberant 0 present how messy 9 ,46,0.6044764518737793,False
present,keyboard 8 let 0 exuberant application zipper crowded 2 suit how keyboard 8 hello willing ,90,"NOT STORED
",0.6996748447418213,7 3 willing space ,18,0.28788328170776367,False
helloyoubirth,force limping jelly whisper ,28,"STORED
",0.04575347900390625,9 shape suit whisper willing javascript monitor imprint limping 0 limping 7 ,76,0.29865503311157227,False
1howmessy,7 shape 1 let monitor evaporate 4 javascript 4 network credit ,62,"STORED
",0.028026103973388672,7 shape 1 let monitor evaporate 4 javascript 4 network credit ,62,0.336162805557251,True
crowdednetwork,9 monitor 8 present program 0 4 evaporate ,42,"STORED
",0.017398595809936523,force limping jelly whisper ,28,0.04112553596496582,False
1limpingare,shape monitor birth exuberant world imprint 8 world willing whisper hello suit present 8 ,89,"STORED
",0.11004209518432617,shape monitor birth exuberant world imprint 8 world willing whisper hello suit present 8 ,89,0.029791831970214844,True
birth,2 willing willing 1 shape are world ,36,"STORED
",0.12716054916381836,9 monitor 8 present program 0 4 evaporate ,42,0.023071765899658203,False
imprintsuitsuit,force 1 build you application messy 3 6 present ,48,"STORED
",0.15325474739074707,2 willing willing 1 shape are world ,36,0.12093353271484375,False
gaming,hello birth credit 5 how build you gaming imprint 0 whisper willing program evaporate ,86,"STORED
",0.25437140464782715,hello birth credit 5 how build you gaming imprint 0 whisper willing program evaporate ,86,0.10142850875854492,True
2,keyboard 7 program birth shape you ,35,"STORED
",0.069854736328125,keyboard 7 program birth shape you ,35,0.16788768768310547,True
limpinghow,javascript zipper force ,24,"STORED
",0.08617663383483887,force 1 build you application messy 3 6 present ,48,0.22269487380981445,False
