Key,Value,Bytes,Stored?,Time to store,Retrieved Value,Retrieved Bytes,Time to get,Correct Key-Value?
test#1,This test should fail due to the special character in the name,62,"NOT STORED
",18.147780179977417,END ,FOUND,0.9629590511322021,False
test 2,This test should fail due to the space in the name,50,"Unable to process command 
",0.0,An error occurred when parsing server return,process,0.0005104541778564453,False
test3 ,This test should fail due to the space in the name,50,"Unable to process command 
",0.0,An error occurred when parsing server return,process,0.0,False
longtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtest,This test should fail due to the length of the string,53,"NOT STORED
",0.5396168231964111,END ,FOUND,0.8794598579406738,False
howapplicationpresent,keyboard exuberant jelly force shape ,37,"STORED
",0.26662230491638184,keyboard exuberant jelly force shape ,37,0.9471440315246582,True
imprintshapepresent,keyboard 0 messy world suit suit force space shape 0 6 ,55,"STORED
",0.033057451248168945,keyboard 0 messy world suit suit force space shape 0 6 ,55,0.07281732559204102,True
voyageare,build 0 9 jelly 1 8 jelly how present are program keyboard ,59,"STORED
",0.5069446563720703,build 0 9 jelly 1 8 jelly how present are program keyboard ,59,0.9512820243835449,True
applicationmessyspace,evaporate crowded present 9 space network let ,46,"STORED
",0.3766658306121826,evaporate crowded present 9 space network let ,46,0.9282879829406738,True
youpresentgaming,application whisper 1 limping let exuberant 8 9 whisper application crowded gaming 1 ,85,"STORED
",0.2228696346282959,application whisper 1 limping let exuberant 8 9 whisper application crowded gaming 1 ,85,0.6106956005096436,True
monitorkeyboard,1 whisper gaming 2 ,19,"STORED
",0.8069624900817871,1 whisper gaming 2 ,19,1.0120816230773926,True
whisper,6 messy 2 4 space let 1 ,24,"STORED
",0.6748995780944824,6 messy 2 4 space let 1 ,24,0.9549345970153809,True
jellygaming,exuberant application world present 1 crowded space exuberant 6 exuberant ,74,"STORED
",0.4821135997772217,exuberant application world present 1 crowded space exuberant 6 exuberant ,74,0.506075382232666,True
suit4,world 2 0 you 7 exuberant 5 world 0 9 exuberant ,48,"STORED
",0.9378576278686523,world 2 0 you 7 exuberant 5 world 0 9 exuberant ,48,0.9014005661010742,True
how,2 hello voyage credit you space are messy whisper world world monitor ,70,"STORED
",0.8260073661804199,2 hello voyage credit you space are messy whisper world world monitor ,70,0.5431504249572754,True
willinghello8,8 2 9 monitor 2 space jelly application how ,44,"STORED
",0.9857463836669922,8 2 9 monitor 2 space jelly application how ,44,0.42603158950805664,True
crowdedcrowded,network gaming 7 world network suit crowded 5 force program whisper limping force messy suit ,93,"STORED
",0.2057051658630371,network gaming 7 world network suit crowded 5 force program whisper limping force messy suit ,93,0.5264966487884521,True
