Key,Value,Bytes,Stored?,Time to store,Retrieved Value,Retrieved Bytes,Time to get,Correct Key-Value?
test#1,This test should fail due to the special character in the name,62,"NOT STORED
",0.3010532855987549,An error occurred when parsing server return,Error has Occurred,0.04445004463195801,False
test 2,This test should fail due to the space in the name,50,"Unable to process command 
",0.0014986991882324219,An error occurred when parsing server return,process,0.0018267631530761719,False
test3 ,This test should fail due to the space in the name,50,"Unable to process command 
",0.0,An error occurred when parsing server return,process,0.0020020008087158203,False
longtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtest,This test should fail due to the length of the string,53,"NOT STORED
",0.2725257873535156,END ,FOUND,0.07532787322998047,False
zippersuitbirth,5 network limping 5 imprint 0 9 world 4 monitor 2 keyboard limping ,67,"STORED
",0.21210765838623047,An error occurred when parsing server return,Error has Occurred,0.25521230697631836,False
creditspace9,let present program credit force space voyage ,46,"NOT STORED
",0.02362346649169922,END ,FOUND,0.09473705291748047,False
letcrowdedimprint,let voyage 1 program imprint application ,41,"NOT STORED
",0.03460431098937988,let voyage 1 program imprint application ,41,0.5892148017883301,True
world,voyage how are 1 jelly application javascript jelly force hello ,64,"NOT STORED
",0.7726352214813232,5 network limping 5 imprint 0 9 world 4 monitor 2 keyboard limping ,67,0.021151304244995117,False
imprintare,application shape jelly limping present 0 7 messy build jelly 4 birth program birth voyage ,91,"STORED
",0.020036697387695312,application shape jelly limping present 0 7 messy build jelly 4 birth program birth voyage ,91,0.038338661193847656,True
6,suit program limping 3 birth ,29,"STORED
",0.12610220909118652,let present program credit force space voyage ,46,0.06861352920532227,False
80,9 2 3 8 application 0 1 javascript voyage gaming willing space ,63,"STORED
",0.01279306411743164,shape build jelly voyage evaporate 8 ,37,0.20717501640319824,False
presentsuitare,gaming world network evaporate build 1 zipper jelly zipper you gaming imprint exuberant 8 ,90,"STORED
",0.15602803230285645,9 2 3 8 application 0 1 javascript voyage gaming willing space ,63,0.5641772747039795,False
programhellobirth,shape messy force are birth 8 gaming voyage 4 willing 8 0 zipper how ,69,"STORED
",0.16319847106933594,suit program limping 3 birth ,29,0.0613558292388916,False
