Key,Value,Bytes,Stored?,Time to store,Retrieved Value,Retrieved Bytes,Time to get,Correct Key-Value?
test#1,This test should fail due to the special character in the name,62,"NOT STORED
",0.41139698028564453,An error occurred when parsing server return,Error has Occurred,0.2445392608642578,False
test 2,This test should fail due to the space in the name,50,"Unable to process command 
",0.0,END ,FOUND,0.8864085674285889,False
test3 ,This test should fail due to the space in the name,50,"Unable to process command 
",0.0002944469451904297,An error occurred when parsing server return,process,0.0,False
longtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtest,This test should fail due to the length of the string,53,"NOT STORED
",0.024709701538085938,An error occurred when parsing server return,process,0.0,False
force,javascript 8 5 2 ,17,"NOT STORED
",0.015321016311645508,END ,FOUND,0.6338775157928467,False
4messy,credit ,7,"NOT STORED
",0.8073267936706543,keyboard are imprint build 4 1 exuberant ,41,0.20009827613830566,False
howbuild,shape ,6,"Unable to process command 
",0.0005254745483398438,END ,FOUND,0.9349288940429688,False
8let,0 you keyboard ,15,"STORED
",0.684877872467041,shape ,6,0.1129145622253418,False
voyage,are 4 willing 9 zipper world willing are 2 6 5 you ,51,"NOT STORED
",0.5227537155151367,imprint 0 hello world shape 9 world willing willing limping let ,64,0.6511096954345703,False
credit,5 you monitor ,14,"NOT STORED
",0.20076870918273926,0 world application credit are let limping application world ,61,0.4093327522277832,False
willingbuildgaming,you program shape let willing force limping present jelly ,58,"NOT STORED
",0.17394471168518066,application 4 8 evaporate ,26,0.29622602462768555,False
6,5 monitor 3 network willing network are imprint 6 credit crowded force voyage ,78,"STORED
",0.15292811393737793,you program shape let willing force limping present jelly ,58,0.9599819183349609,False
application,evaporate 7 how world 4 ,24,"NOT STORED
",0.7381949424743652,suit program limping 3 birth ,29,0.4411163330078125,False
creditcreditimprint,zipper you jelly voyage evaporate messy present ,48,"STORED
",0.8659398555755615,evaporate 7 how world 4 ,24,0.16265535354614258,False
shapezipper,you exuberant exuberant force 6 ,32,"STORED
",0.6307857036590576,zipper you jelly voyage evaporate messy present ,48,0.9537642002105713,False
messy9hello,suit how force 2 shape 7 ,25,"STORED
",0.6883478164672852,you exuberant exuberant force 6 ,32,0.059758901596069336,False
7,imprint how evaporate present 5 birth javascript let application are javascript keyboard voyage ,96,"STORED
",0.9828047752380371,suit how force 2 shape 7 ,25,0.3410756587982178,False
