Key,Value,Bytes,Stored?,Time to store,Retrieved Value,Retrieved Bytes,Time to get,Correct Key-Value?
test#1,This test should fail due to the special character in the name,62,"NOT STORED
",28.442062616348267,END ,FOUND,0.21058130264282227,False
test 2,This test should fail due to the space in the name,50,"Unable to process command 
",0.0,An error occurred when parsing server return,process,0.0,False
test3 ,This test should fail due to the space in the name,50,"Unable to process command 
",0.0,An error occurred when parsing server return,process,0.0,False
longtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtest,This test should fail due to the length of the string,53,"NOT STORED
",0.0630803108215332,END ,FOUND,0.3410172462463379,False
suityouspace,9 ,2,"STORED
",0.24401593208312988,9 ,2,0.9063286781311035,True
650,build birth present force present network are hello ,52,"STORED
",0.3761866092681885,build birth present force present network are hello ,52,1.0012948513031006,True
programyou,2 shape 3 space zipper evaporate keyboard evaporate build network how 2 ,72,"STORED
",0.8460268974304199,2 shape 3 space zipper evaporate keyboard evaporate build network how 2 ,72,0.047853946685791016,True
7,shape 4 willing 9 space suit let space jelly exuberant world limping ,69,"STORED
",0.5260474681854248,shape 4 willing 9 space suit let space jelly exuberant world limping ,69,0.09308505058288574,True
8how,messy imprint monitor let 1 keyboard space 9 ,45,"STORED
",0.3720204830169678,messy imprint monitor let 1 keyboard space 9 ,45,0.12973999977111816,True
youhow,credit let hello jelly ,23,"STORED
",0.16443443298339844,credit let hello jelly ,23,0.8542392253875732,True
