Key,Value,Bytes,Stored?,Time to store,Retrieved Value,Retrieved Bytes,Time to get,Correct Key-Value?
test#1,This test should fail due to the special character in the name,62,"NOT STORED
",0.33864355087280273,END ,FOUND,0.9345722198486328,False
test 2,This test should fail due to the space in the name,50,"Unable to process command 
",0.0,An error occurred when parsing server return,process,0.0,False
test3 ,This test should fail due to the space in the name,50,"Unable to process command 
",0.0,An error occurred when parsing server return,process,0.0,False
longtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtestlongtest,This test should fail due to the length of the string,53,"NOT STORED
",0.3989987373352051,END ,FOUND,0.3142976760864258,False
gaming,jelly build force ,18,"STORED
",0.804307222366333,jelly build force ,18,0.2603628635406494,True
8,application keyboard gaming 5 let 4 6 you 0 javascript ,55,"STORED
",0.39838647842407227,application keyboard gaming 5 let 4 6 you 0 javascript ,55,0.984649658203125,True
javascript1let,world javascript voyage birth 1 force build suit application 6 exuberant monitor ,81,"STORED
",0.35210633277893066,world javascript voyage birth 1 force build suit application 6 exuberant monitor ,81,0.1776573657989502,True
spaceevaporate,1 zipper you monitor world 7 let ,33,"STORED
",0.44005870819091797,1 zipper you monitor world 7 let ,33,0.28908753395080566,True
hellocredit,birth shape 2 hello ,20,"STORED
",0.6602325439453125,birth shape 2 hello ,20,0.9884974956512451,True
jellyzipperapplication,build 1 let ,12,"STORED
",0.22046685218811035,build 1 let ,12,0.6928575038909912,True
0credit,1 1 force 7 birth whisper build monitor zipper ,47,"STORED
",0.450136661529541,1 1 force 7 birth whisper build monitor zipper ,47,0.12961339950561523,True
are,whisper suit ,13,"STORED
",0.6853761672973633,whisper suit ,13,0.8652205467224121,True
5suit,program messy credit hello hello 9 javascript 9 7 build ,56,"STORED
",0.25452661514282227,program messy credit hello hello 9 javascript 9 7 build ,56,0.12598848342895508,True
3,messy 3 force imprint build 8 ,30,"STORED
",0.5759034156799316,messy 3 force imprint build 8 ,30,0.5187287330627441,True
keyboardlimpingpresent,how monitor program zipper build 3 zipper 3 present network evaporate jelly 3 ,78,"STORED
",0.8799974918365479,how monitor program zipper build 3 zipper 3 present network evaporate jelly 3 ,78,0.3435981273651123,True
